date,forecast_temperature_2m_max,forecast_temperature_2m_min,forecast_temperature_2m_mean,forecast_precipitation_sum,forecast_wind_speed_10m_max,actual_temperature_2m_max,actual_temperature_2m_min,actual_temperature_2m_mean,actual_precipitation_sum,actual_wind_speed_10m_max,error_temperature_2m_max,abs_error_temperature_2m_max,error_temperature_2m_min,abs_error_temperature_2m_min,error_temperature_2m_mean,abs_error_temperature_2m_mean,error_precipitation_sum,abs_error_precipitation_sum,error_wind_speed_10m_max,abs_error_wind_speed_10m_max
2025-05-26,21.630999,9.781,16.428919,0.0,14.4,20.8,8.0,14.847917,4.7,14.33234,0.8309994,0.8309994,1.7810001,1.7810001,1.5810022,1.5810022,-4.7,4.7,0.06765938,0.06765938
2025-05-27,22.130999,11.981,17.57475,0.0,14.759999,21.95,9.6,16.422918,0.0,12.69351,0.18099785,0.18099785,2.3809996,2.3809996,1.1518326,1.1518326,0.0,0.0,2.0664892,2.0664892
2025-05-28,23.781,14.231,19.181002,33.399998,13.32,24.35,11.6,18.7625,0.0,14.471821,-0.56900024,0.56900024,2.6309996,2.6309996,0.4185009,0.4185009,33.399998,33.399998,-1.1518211,1.1518211
2025-05-29,17.431,12.3810005,14.753918,11.7,24.119999,17.85,11.2,14.572918,8.400001,23.090569,-0.41900063,0.41900063,1.1810007,1.1810007,0.18099976,0.18099976,3.2999992,3.2999992,1.0294304,1.0294304
2025-05-30,20.531,8.981,14.901834,0.1,20.16,20.05,7.4,14.172916,0.0,17.5931,0.4810009,0.4810009,1.5809999,1.5809999,0.7289171,0.7289171,0.1,0.1,2.5669003,2.5669003
2025-05-31,23.031,15.481,19.278917,3.0,18.0,23.45,14.25,18.887499,1.3000001,17.71789,-0.41900063,0.41900063,1.231,1.231,0.39141846,0.39141846,1.6999999,1.6999999,0.2821102,0.2821102
2025-06-01,27.230999,16.130999,21.04975,5.8000007,15.119999,26.0,12.7,19.900002,2.6999998,12.514855,1.230999,1.230999,3.4309988,3.4309988,1.1497478,1.1497478,3.1000009,3.1000009,2.6051435,2.6051435
2025-06-02,24.431,19.181,21.149748,0.8,16.199999,25.85,17.4,20.920832,0.2,14.401124,-1.4190006,1.4190006,1.7810001,1.7810001,0.22891617,0.22891617,0.6,0.6,1.7988749,1.7988749
2025-06-03,22.081,16.130999,18.689333,9.7,19.44,22.8,15.55,18.699999,7.6000004,14.083778,-0.71899986,0.71899986,0.5809984,0.5809984,-0.010665894,0.010665894,2.0999994,2.0999994,5.356222,5.356222
2025-06-04,25.480999,13.781,20.051832,13.2,22.68,25.95,12.9,20.629166,1.4000001,16.167967,-0.46900177,0.46900177,0.8810005,0.8810005,-0.57733345,0.57733345,11.799999,11.799999,6.5120335,6.5120335
2025-06-05,24.980999,18.130999,22.02475,32.0,16.199999,25.1,17.9,21.983332,2.3,18.720863,-0.11900139,0.11900139,0.230999,0.230999,0.041418076,0.041418076,29.7,29.7,-2.5208645,2.5208645
2025-06-06,26.230999,18.380999,21.933084,2.5,21.24,26.75,16.55,21.447916,1.0,20.172853,-0.519001,0.519001,1.8309994,1.8309994,0.48516846,0.48516846,1.5,1.5,1.0671463,1.0671463
